이름,가격 요약(자동),가슴,구매가,구매일,높이,다리길이,둘레길이,렌즈길이,밑단,밑위,보유,브랜드,브릿지길이,사이즈 요약,상위 카테고리,색상,소매,신발 사이즈,어깨,옵션,정가,제품 요약(자동),챙길이,총장,최종 편집 일시,카테고리,폭,허리,허벅지
"브러시드 저지 모크넥T WINE ","39,900원  (39,900원)",55.5,"39,900",2023년 10월 19일,,,,,,,Yes,유니클로,,총장 69 / 어깨 50.5 / 가슴 55.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),브라운,,,50.5,M,"39,900",유니클로 / M,,69,2025년 1월 2일 오후 1:55,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
"STRIPE CREW PANEL LONG SLEEVES ","68,000원  (68,000원)",57,"68,000",2023년 10월 11일,,,,,,,Yes,인더로우,,총장 70 / 어깨 55 / 가슴 57 / 소매 59,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,59,,55,2,"68,000",인더로우 / 2,,70,2025년 1월 2일 오전 11:04,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
"웜 모크넥 티셔츠 베이지 MWTS7122 ","14,300원  (39,900원)",59,"14,300",2023년 10월 16일,,,,,,,Yes,마인드브릿지,,총장 69 / 어깨 47 / 가슴 59 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),베이지,60,,47,100,"39,900",마인드브릿지 / 100,,69,2025년 1월 2일 오전 11:38,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
"BASIC STRIPE L/S T-SHIRT (OFF WHITE) ","45,000원  (58,000원)",57,"45,000",2023년 5월 9일,,,,,,,Yes,네이더스,,총장 68 / 어깨 48 / 가슴 57 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,60,,48,3,"58,000",네이더스 / 3,,68,2025년 1월 2일 오전 11:08,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
폰테 모크 넥 긴팔 티셔츠 블랙,"10,800원  (26,900원)",57.5,"10,800",2023년 10월 28일,,,,,,,Yes,무신사스탠다드,,총장 73.5 / 어깨 50 / 가슴 57.5 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,60,,50,L,"26,900",무신사스탠다드 / L,,73.5,2024년 12월 11일 오전 10:10,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
브러시드 저지 모크넥T NATURAL,"39,900원  (39,900원)",55.5,"39,900",2023년 10월 19일,,,,,,,Yes,유니클로,,총장 69 / 어깨 50.5 / 가슴 55.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),베이지,,,50.5,M,"39,900",유니클로 / M,,69,2025년 1월 2일 오후 1:55,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
폰테 크루 넥 긴팔 티셔츠 [블랙],"18,100원  (24,900원)",56.5,"18,100",2023년 3월 29일,,,,,,,Yes,무신사스탠다드,,총장 72.5 / 어깨 50 / 가슴 56.5 / 소매 59.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,59.5,,50,L,"24,900",무신사스탠다드 / L,,72.5,2025년 1월 2일 오전 11:18,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
프리미엄 CP20 오버핏 긴팔티 (블랙),"19,700원  (41,500원)",62,"19,700",2024년 9월 12일,,,,,,,Yes,리우아,,총장 70.5 / 어깨 56 / 가슴 62 / 소매 57,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,57,,56,M,"41,500",리우아 / M,,70.5,2024년 12월 11일 오전 11:27,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
레이어드 크루 넥 긴팔 티셔츠 [화이트],"16,383원  (19,900원)",56.5,"16,383",2023년 10월 28일,,,,,,,Yes,무신사스탠다드,,총장 76.3 / 어깨 50 / 가슴 56.5 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,60,,50,L,"19,900",무신사스탠다드 / L,,76.3,2024년 12월 11일 오전 10:31,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
베네피셜 하이코튼 세미오버핏 긴팔티,"34,500원  (50,900원)",56.5,"34,500",2023년 9월 12일,,,,,,,Yes,리우아,,총장 69.5 / 어깨 50 / 가슴 56.5 / 소매 60,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,60,,50,M,"50,900",리우아 / M,,69.5,2025년 1월 2일 오전 11:35,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
베네피셜 하이코튼 세미오버핏 긴팔티,"34,500원  (50,900원)",58,"34,500",2024년 2월 12일,,,,,,,Yes,리우아,,총장 69.5 / 어깨 54 / 가슴 58 / 소매 58,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블랙,58,,54,M,"50,900",리우아 / M,,69.5,2025년 1월 2일 오전 11:35,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
Pin Stripe Long Sleeve Camel,"75,000원  (75,000원)",61,"75,000",2024년 8월 14일,,,,,,,Yes,러프사이드,,총장 69 / 어깨 56.5 / 가슴 61 / 소매 58,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),브라운,58,,56.5,2,"75,000",러프사이드 / 2,,69,2025년 12월 27일 오후 1:33,티셔츠 (긴팔) (https://www.notion.so/157abb41507c80b68f57ffeaac3e6556?pvs=21),,,
